BookId,BookTitle,BookSubTitle,Publisher,Author,Year,Location,Copies,eCuisine,eMediaType,RecipeRef
68,Tesco,Cheese recipes,Tesco,Tesco,0,Kitchen Cupboard,1,United Kingdom,Book,
69,Tesco,Meals in Minutes,Tesco,Tesco,0,Kitchen Cupboard,1,United Kingdom,Book,
70,Tesco,Summer Entertaining Cookery Demonstration,Tesco,Tesco,0,Kitchen Cupboard,1,United Kingdom,Book,
71,Tesco,recipes for Sporting Events,Tesco,Tesco,0,Kitchen Cupboard,1,United Kingdom,Book,
72,Comic Relief,Delia's Chocolate Collection 12 Nw Recipes,BBC Books,Delia Smith,2001,Kitchen Cupboard,1,United Kingdom,Book,
73,Low Cholesterol,Cookbook,Anness Publishing Ltd.,Christine France,1998,Kitchen Cupboard,1,United Kingdom,Book,
74,The Low-Fat,Cookbook,Silverdale Books,Pamela westland,1992,Kitchen Cupboard,1,United Kingdom,Book,
75,Delia's How to Cook,Book One,BBC Books,Delia Smith,1998,Kitchen Cupboard,1,United Kingdom,Book,
76,Delia's How to Cook,Book Two,BBC Books,Delia Smith,1999,Kitchen Cupboard,1,United Kingdom,Book,
77,Mary Berry's,Best desserts,DK UK,Mary Berry,1997,Kitchen Cupboard,1,United Kingdom,Book,
78,Cooking,For Every Occasion,Octopus Publishing Group Ltd.,Octopus Publishing Group Ltd.,1972,Kitchen Cupboard,1,United Kingdom,Book,
79,Kitchen Library,Delicious Desserts,Tesco,Patricia Bourne,1990,Kitchen Cupboard,1,United Kingdom,Book,
80,Hamlyn All Colour,Million Menus Cookbook,Hamlyn Publishing Group Ltd.,Hamlyn,1992,Kitchen Cupboard,1,United Kingdom,Book,
81,Ice Cream,,CLB Publishing,Hilary Walden,1995,Kitchen Cupboard,1,United Kingdom,Book,
82,Delia Smith's,Winter Collection,BBC Books,Delia Smith,1995,Kitchen Cupboard,1,United Kingdom,Book,
83,More Recipes,Round-Ups,Milk Marketing Board,Milk Marketing Board,1995,Kitchen Cupboard,1,United Kingdom,Book,
84,Tefal,Steam Cooking,Tefal,Jacques Lainé,1998,Kitchen Cupboard,1,United Kingdom,Book,
85,Women's Own,Cook Book,George Newnes Ltd.,George Newnes Ltd.,1964,Kitchen Cupboard,1,United Kingdom,Book,
86,Cannon,Cookery Book,Cannon (GA) Ltd.,Cannon (GA) Ltd.,1932,Kitchen Cupboard,1,United Kingdom,Book,
87,McDougall's,Super-Sifted Cookery,McDougall's Ltd.,Janet Johnston,1932,Kitchen Cupboard,1,United Kingdom,Book,
88,Good Morning Sunday,Cookery Book,BBC Books,Listerns of Good Morning Sunday,1989,Kitchen Cupboard,1,United Kingdom,Book,
89,The Relutant Cook,,BBC Books,Kevin Woodford & Clare Brigstocke,1988,Kitchen Cupboard,1,United Kingdom,Book,
90,Microwave Cookbook,The Complete Guilde,HPBooks,Pat Jester,1982,Kitchen Cupboard,1,United Kingdom,Book,
91,Introducing Microwave Cookery,,PSS Ltd.,Mary De Courcy Colloby,0,Kitchen Cupboard,1,United Kingdom,Book,
92,Cocktails & Fresh Juices,,Symbanet Sales Ltd.,Werner Niederwinkler,0,Kitchen Cupboard,1,United Kingdom,Book,
93,Delia Smith's,Summer Collection,BBC Books,Delia Smith,1993,Kitchen Cupboard,1,United Kingdom,Book,
94,Linda McCartney's,Home Cooking,MPL Communications Ltd.,Linda McCartney,1989,Kitchen Cupboard,1,United Kingdom,Book,
95,Le Cordon Bleu,Complete Cooking Techniques,Carroll & brown Ltd.,Jeni Wright & Eric Treuillle,1996,Kitchen Cupboard,1,United Kingdom,Book,
96,Glynn Christian's,Contemporary Home Cooking,Octopus Publishing Group Ltd.,Glynn Christian,1986,Kitchen Cupboard,1,United Kingdom,Book,
97,Potato,,Anness Publishing Ltd.,Sally Mansfield,1999,Kitchen Cupboard,1,United Kingdom,Book,
98,Chef on a,Shoe String,Carlton Food Network,Brian Turner,1998,Kitchen Cupboard,1,United Kingdom,Book,
99,Ken Hom's,Cookery Course,,Ken Hom,0,Kitchen Cupboard,1,United Kingdom,Book,
100,Recipe Round-Up,,Milk Marketing Board,Milk Marketing Board,1982,Kitchen Cupboard,1,United Kingdom,Book,
101,Delia Smith's,Book of Cakes,Hodder and Stoughton Ltd.,Delia Smith,1977,Kitchen Cupboard,1,United Kingdom,Book,
102,The Cookery Year,,Reader's Digest Ass. Ltd.,Reader's Digest Ass. Ltd.,1973,Kitchen Cupboard,1,United Kingdom,Book,
103,Radiation,Cookery Book,Acme New World Cookers,Acme New World Cookers,1927,Kitchen Cupboard,1,United Kingdom,Book,
104,Good Housekeeping,Cookery Book,Ebury Press,Good Housekeeping,1998,Kitchen Cupboard,1,United Kingdom,Book,
105,How to Eat,The Pleasures and Principles of Good Food,Ted Smart Pub.,Nigella Lawson,1998,Kitchen Cupboard,1,United Kingdom,Book,
106,Fudge,Instruction Book,Calico Cottage,Calico Cottage,0,Kitchen Cupboard,1,United Kingdom,Book,
107,George Foreman,fat Reducing Health Grill,George Foreman,George Foreman,0,Kitchen Cupboard,1,United Kingdom,Book,
108,Braun Multipracyic,Delux Hand Blender,Braun,Braun,0,Kitchen Cupboard,1,United Kingdom,Book,
109,Tower,Slo-Cooker recipes Instructions & Guarantee,Tower's Home Economist,Tower's Home Economist,1972,Kitchen Cupboard,1,United Kingdom,Book,
110,100 Recipes,in no time at all,BBC Books,Viewers of Challenge Anneka,1994,Microwave,1,United Kingdom,Book,
